Gene_ID	Gene_Name	Rank	PageRank_Score
ENSG00000010671	BTK	437	0.000257563399979
ENSG00000123240	OPTN	438	0.000257558691903
ENSG00000079999	KEAP1	439	0.000257151517007
ENSG00000104412	EMC2	440	0.000257145500096
ENSG00000121671	CRY2	441	0.000257075484687
ENSG00000089289	IGBP1	442	0.000256972180486
ENSG00000137497	NUMA1	443	0.000256954853386
ENSG00000187778	MCRS1	444	0.000256727713558
ENSG00000100985	MMP9	445	0.000255679340444
ENSG00000070495	JMJD6	446	0.000255446827698
ENSG00000128591	FLNC	447	0.000255318663313
ENSG00000125347	IRF1	448	0.000254797659372
ENSG00000138279	ANXA7	449	0.000254596575885
ENSG00000114423	CBLB	450	0.00025458424649
ENSG00000173692	PSMD1	451	0.000253548770896
ENSG00000089737	DDX24	452	0.000253118970308
ENSG00000023445	BIRC3	453	0.000252477790005
ENSG00000139842	CUL4A	454	0.000252196488466
ENSG00000111716	LDHB	455	0.000252164990679
ENSG00000184634	MED12	456	0.000252085860326
ENSG00000106299	WASL	457	0.000252052936138
ENSG00000126016	AMOT	458	0.000251739541755
ENSG00000185122	HSF1	459	0.000251543549653
ENSG00000105221	AKT2	460	0.000251380384646
ENSG00000175197	DDIT3	461	0.000250684546697
ENSG00000136869	TLR4	462	0.000250272603518
ENSG00000170515	PA2G4	463	0.000250223810151
ENSG00000141564	RPTOR	464	0.000250061922384
ENSG00000150459	SAP18	465	0.000249994496987
ENSG00000156603	MED19	466	0.000249979294216
ENSG00000198646	NCOA6	467	0.000249870405533
ENSG00000135338	LCA5	468	0.000249012932081
ENSG00000158445	KCNB1	469	0.000248924355677
ENSG00000197321	SVIL	470	0.000248889525317
ENSG00000073969	NSF	471	0.000248564511723
ENSG00000196262	PPIA	472	0.000248563403308
ENSG00000175029	CTBP2	473	0.000248192910272
ENSG00000121931	LRIF1	474	0.000245923232735
ENSG00000134333	LDHA	475	0.000245183225299
ENSG00000095066	HOOK2	476	0.000244733486745
ENSG00000114416	FXR1	477	0.000244568253594
ENSG00000105392	CRX	478	0.000243971599482
ENSG00000172530	BANP	479	0.000243728629869
ENSG00000100823	APEX1	480	0.000243335054372
ENSG00000154310	TNIK	481	0.000243211719851
ENSG00000166794	PPIB	482	0.000243193509789
ENSG00000080986	NDC80	483	0.00024303275269
ENSG00000166888	STAT6	484	0.000242989911647
ENSG00000094880	CDC23	485	0.000242547686201
ENSG00000087088	BAX	486	0.000241894947336
ENSG00000124641	MED20	487	0.000241654674759
ENSG00000173933	RBM4	488	0.000241311518952
ENSG00000049768	FOXP3	489	0.000241300886024
ENSG00000261609	GAN	490	0.000241253920292
ENSG00000110367	DDX6	491	0.000241223509274
ENSG00000158941	CCAR2	492	0.000241077439996
ENSG00000065150	IPO5	493	0.000240957098898
ENSG00000180182	MED14	494	0.000240763202346
ENSG00000135046	ANXA1	495	0.000240307476339
ENSG00000113658	SMAD5	496	0.000239811075241
ENSG00000123384	LRP1	497	0.000239497599357
ENSG00000104419	NDRG1	498	0.000239059451155
ENSG00000111605	CPSF6	499	0.000239016917629
ENSG00000140396	NCOA2	500	0.000238890011571
ENSG00000198730	CTR9	501	0.000238153888421
ENSG00000137275	RIPK1	502	0.000237798280808
ENSG00000061273	HDAC7	503	0.000237746511029
